ID,Symbol,Company_Name,Market_Cap
1,NVDA,NVIDIA Corporation,"3,822.38B"
2,MSFT,Microsoft Corporation,"3,685.13B"
3,AAPL,Apple Inc.,"3,010.02B"
4,AMZN,"Amazon.com, Inc.","2,310.65B"
5,GOOG,Alphabet Inc.,"2,110.72B"
6,GOOGL,Alphabet Inc.,"2,094.82B"
7,META,"Meta Platforms, Inc.","1,836.21B"
8,AVGO,Broadcom Inc.,"1,264.86B"
9,BRK-B,Berkshire Hathaway Inc.,"1,047.63B"
10,TSLA,"Tesla, Inc.","1,035.31B"
11,JPM,JPMorgan Chase & Co.,796.41B
12,WMT,Walmart Inc.,776.97B
13,LLY,Eli Lilly and Company,699.96B
14,V,Visa Inc.,654.88B
15,ORCL,Oracle Corporation,594.94B
16,NFLX,"Netflix, Inc.",562.52B
17,MA,Mastercard Incorporated,502.12B
18,XOM,Exxon Mobil Corporation,469.81B
19,COST,Costco Wholesale Corporation,438.22B
20,PG,The Procter & Gamble Company,372.55B
21,JNJ,Johnson & Johnson,366.52B
22,HD,"The Home Depot, Inc.",365.67B
23,BAC,Bank of America Corporation,354.98B
24,ABBV,AbbVie Inc.,326.64B
25,PLTR,Palantir Technologies Inc.,325.86B
26,KO,The Coca-Cola Company,301.51B
27,PM,Philip Morris International Inc.,281.67B
28,UNH,UnitedHealth Group Incorporated,278.13B
29,GE,General Electric Company,274.46B
30,CSCO,"Cisco Systems, Inc.",271.77B
31,TMUS,"T-Mobile US, Inc.",267.16B
32,IBM,International Business Machines Corporation,263.71B
33,CRM,"Salesforce, Inc.",258.87B
34,WFC,Wells Fargo & Company,258.64B
35,CVX,Chevron Corporation,249.93B
36,ABT,Abbott Laboratories,232.62B
37,AMD,"Advanced Micro Devices, Inc.",231.70B
38,MS,Morgan Stanley,225.79B
39,AXP,American Express Company,221.74B
40,DIS,The Walt Disney Company,219.70B
41,INTU,Intuit Inc.,217.99B
42,LIN,Linde plc,217.84B
43,NOW,"ServiceNow, Inc.",212.33B
44,MCD,McDonald's Corporation,207.30B
45,GS,"The Goldman Sachs Group, Inc.",201.92B
46,T,AT&T Inc.,201.05B
47,MRK,"Merck & Co., Inc.",196.94B
48,ISRG,"Intuitive Surgical, Inc.",193.75B
49,RTX,RTX Corporation,192.02B
50,UBER,"Uber Technologies, Inc.",189.96B
51,TXN,Texas Instruments Incorporated,187.49B
52,BX,Blackstone Inc.,184.89B
53,BKNG,Booking Holdings Inc.,184.83B
54,ACN,Accenture plc,184.36B
55,CAT,Caterpillar Inc.,181.07B
56,PEP,"PepsiCo, Inc.",179.39B
57,VZ,Verizon Communications Inc.,177.23B
58,QCOM,QUALCOMM Incorporated,174.25B
59,ADBE,Adobe Inc.,164.45B
60,SCHW,The Charles Schwab Corporation,164.05B
61,BLK,"BlackRock, Inc.",161.32B
62,BA,The Boeing Company,159.70B
63,SPGI,S&P Global Inc.,158.03B
64,BSX,Boston Scientific Corporation,157.37B
65,C,Citigroup Inc.,157.25B
66,TMO,Thermo Fisher Scientific Inc.,154.82B
67,PGR,The Progressive Corporation,154.33B
68,SYK,Stryker Corporation,150.73B
69,AMGN,Amgen Inc.,149.03B
70,HON,Honeywell International Inc.,146.63B
71,AMAT,"Applied Materials, Inc.",146.00B
72,NEE,"NextEra Energy, Inc.",145.20B
73,GEV,GE Vernova Inc.,143.75B
74,DHR,Danaher Corporation,142.54B
75,MU,"Micron Technology, Inc.",140.81B
76,ETN,Eaton Corporation plc,138.36B
77,DE,Deere & Company,138.19B
78,UNP,Union Pacific Corporation,137.65B
79,GILD,"Gilead Sciences, Inc.",137.39B
80,PFE,Pfizer Inc.,137.36B
81,TJX,"The TJX Companies, Inc.",137.05B
82,PANW,"Palo Alto Networks, Inc.",133.38B
83,CMCSA,Comcast Corporation,132.29B
84,LOW,"Lowe's Companies, Inc.",125.31B
85,ANET,Arista Networks Inc,125.15B
86,CRWD,"CrowdStrike Holdings, Inc.",124.63B
87,LRCX,Lam Research Corporation,123.95B
88,ADP,"Automatic Data Processing, Inc.",123.17B
89,KKR,KKR & Co. Inc.,119.12B
90,APH,Amphenol Corporation,118.21B
91,KLAC,KLA Corporation,117.72B
92,ADI,"Analog Devices, Inc.",117.21B
93,VRTX,Vertex Pharmaceuticals Incorporated,114.36B
94,CB,Chubb Limited,114.21B
95,COP,ConocoPhillips,113.82B
96,MDT,Medtronic plc,110.11B
97,MMC,"Marsh & McLennan Companies, Inc.",106.97B
98,LMT,Lockheed Martin Corporation,106.84B
